Geneid	Geneid_clean	Symbol	Dominant_Direction	Count_Ratio	Cachexia_sig_up	Cachexia_sig_down	Sepsis_sig_up	Sepsis_sig_down	Disuse_sig_up	Disuse_sig_down	Denervation_sig_up	Denervation_sig_down	Final_Avg_logFC	Final_Median_logFC	Cachexia_Avg_logFC	Sepsis_Avg_logFC	Disuse_Avg_logFC	Denervation_Avg_logFC	Cachexia_Median_logFC	Sepsis_Median_logFC	Disuse_Median_logFC	Denervation_Median_logFC	ERP145838_Sham_vs_334P_cells_injection_edgeR_results.tsv	SRP055049_Control_vs_C26_cells_injection_edgeR_results.tsv	SRP125804_Fasted_vs_CACS_edgeR_results.tsv	SRP148786_PBS_vs_LLC_edgeR_results.tsv	SRP172440_Control_vs_KPC_tumore_cells_injection_edgeR_results.tsv	SRP224400_Control_vs_C26_cells_injection_edgeR_results.tsv	SRP238415_Control_vs_C26_cells_injection_edgeR_results.tsv	SRP246188_PBSinjection_vs_LLC_cells_injection_edgeR_results.tsv	SRP279572_Control_vs_KPC_edgeR_results.tsv	SRP288335_Control_vs_LLC_edgeR_results.tsv	SRP304002_CACS_neg_vs_CACS_pos_edgeR_results.tsv	SRP321471_Control_vs_C26_cells_injection_edgeR_results.tsv	SRP337393_Control_vs_Melanoma_edgeR_results.tsv	SRP342685_Control_vs_KPC_tumore_cells_injection_edgeR_results.tsv	SRP400565_Control_vs_TOV21G_cells_injection_edgeR_results.tsv	SRP426212_Control_vs_KIC_edgeR_results.tsv	SRP436115_Control_vs_LLC_cells_injection_edgeR_results.tsv	SRP441976_Control_vs_KPC_tumore_cells_injection_edgeR_results.tsv	SRP468164_Control_vs_C26_injection_edgeR_results.tsv	SRP518009_Control_vs_C26_injection_edgeR_results.tsv	SRP519530_Control_vs_KIC_edgeR_results.tsv	SRP526827_PBS_vs_LLC_edgeR_results.tsv	SRP535687_Control_vs_Kras-IKKaL_cells_injection_edgeR_results.tsv	SRP544896_Control_vs_CT26_cells_injection_edgeR_results.tsv	SRP560874_Control_vs_B0092_cells_injection_edgeR_results.tsv	SRP567610_Control_vs_C26_injection_edgeR_results.tsv	SRP597284_Control_vs_CT26_cells_injection_edgeR_results.tsv	ERP131935_Sham_vs_CLP_edgeR_results.tsv	SRP388005_Saline_vs_LPS_edgeR_results.tsv	SRP475349_Saline_vs_LPS_edgeR_results.tsv	SRP511238_Saline_vs_LPS_edgeR_results.tsv	SRP553590_Sham_vs_CLP_edgeR_results.tsv	SRP591840_Sham_vs_CS_edgeR_results.tsv	SRP646634_Sham_vs_CS_edgeR_results.tsv	SRP114869_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP220337_Control_vs_Casting_edgeR_results.tsv	SRP293052_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP307991_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP395698_Control_vs_Casting_edgeR_results.tsv	SRP396700_Control_vs_Casting_edgeR_results.tsv	SRP449926_Control_vs_Casting_edgeR_results.tsv	SRP454976_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP455216_male_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP522174_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP588888_Control_vs_Hindlimb_unloading_edgeR_results.tsv	ERP143166_Control_vs_Denervation_edgeR_results.tsv	SRP196460_Control_vs_Denervation_edgeR_results.tsv	SRP371311_Control_vs_Denervation_edgeR_results.tsv	SRP406911_Control_vs_Denervation_edgeR_results.tsv	SRP411450_Sham_vs_Denervation_edgeR_results.tsv	SRP420335_Sham_vs_SCI_edgeR_results.tsv	SRP484329_Control_vs_Denervation_edgeR_results.tsv	MouseGeneID	HumanOrthologGeneID	Synonyms	Description	MitoCarta3.0_List	MitoCarta3.0_Evidence	MitoCarta3.0_SubMitoLocalization	MitoCarta3.0_MitoPathways	TrainingDataset	MitoCarta2.0_Score	MitoCarta2.0_FDR	MitoCarta2.0_List	MitoCarta2.0_Evidence	EnsemblGeneID	UniProt	ProteinLength	TargetP_Score	MitoDomain_Score	CoexpressionGnfN50_Score	PGC_Induction_Score	YeastMitoHomolog_Score	RickettsiaHomolog_Score	MSMS_Score	mm10_Chromosome	mm10_Start	mm10_Stop	MSMS_NUM_TISSUES	MSMS_NUM_PEPTIDES_UNIQUE	MSMS_NUM_SPECTRA	MSMS_TOTAL_INTENSITY	MSMS_PERCENT_COVERAGE	Tissues	cerebrum_total_peak_intensity_log10	cerebellum_total_peak_intensity_log10	brainstem_total_peak_intensity_log10	spinalcord_total_peak_intensity_log10	kidney_total_peak_intensity_log10	liver_total_peak_intensity_log10	heart_total_peak_intensity_log10	skeletalmuscle_total_peak_intensity_log10	adipose_total_peak_intensity_log10	smallintestine_total_peak_intensity_log10	largeintestine_total_peak_intensity_log10	stomach_total_peak_intensity_log10	placenta_total_peak_intensity_log10	testis_total_peak_intensity_log10	HPA_Main_Location_2020 (Reliability)
ENSMUSG00000017119.21	ENSMUSG00000017119	Nbr1	UP	0.835858585858586	24	0	7	0	5	0	7	0	0.673529790783476	0.689227336043174	0.612908809093525	0.957256009080524	0.194461404999929	0.929492939959924	0.495750543539758	1.10774053908086	0.102907152919274	0.88270412854659	0.353790439757181	1.15896239257957	0.022365143119547	0.636895462985409	1.6637704563324	0.509507653456922	1.05820736616006	0.401569044041076	0.712332021068255	0.193218669759421	0.20759293112649	0.173712524575269	0.132696129773098	1.0333699620293	0.0933915498991219	0.385626722975627	0.385078676816967	0.974158207084082	0.495750543539758	1.02147991676889	0.46144582088216	0.167653135663663	1.49306563493794	0.563708755885831	0.533276690949558	0.493542521132046	1.22236947222555	1.16423825555493	0.123703378667056	0.621385119244	1.33250464858174	1.10774053908086	1.08944279717691	1.26177732525817	-0.019814389453974	0.268728818350765	0.588608334345291	0.0463380792422365	0.799136749930696	0.0189124081864649	0.324386680142647	0.193867404950827	-0.118506297729507	0.102907152919274	-0.0654894858854969	0.897038375185782	1.46850082363312	0.88270412854659	0.801468065640344	1.23288697990615	0.628924850698234	0.594927356109247	17966	4077	mKIAA0049	NBR1, autophagy cargo receptor	MitoCarta3.0	APEX_IMS, coexpression	IMS	Mitochondrial dynamics and surveillance > Autophagy	Tmito	-5.4144	0.725	1	APEX_IMS, coexpression	ENSMUSG00000017119	P97432	988	NA	NonMitoDomain	5	NA	NoMitoHomolog	NoHomolog	0-25ambig	chr11	101552106	101581951	2	4	4	30300000	5	cerebellum, liver	NA	7.5	NA	NA	NA	6.1	NA	NA	NA	NA	NA	NA	NA	NA	Vesicles (Supported)
ENSMUSG00000028710.19	ENSMUSG00000028710	Atpaf1	DOWN	0.833092833092833	1	23	1	4	1	10	0	7	-0.490565990292215	-0.46061774416784	-0.49944246765139	-0.464767453738398	-0.449655751995212	-0.548398287783859	-0.44591386133212	-0.469600710372796	-0.451634777962883	-0.520945977706773	-0.827190345755228	-0.44591386133212	-0.417727339539252	-0.63105299925187	-0.751748462005381	-0.186747774098335	-0.734979009432577	-0.285221651976931	-0.97554489115374	-0.131896330415822	-0.427301501712291	0.159753120517551	-0.60461896867674	-0.948752373716879	-0.283505010584682	-0.422080423580178	-0.361729434657554	-0.552155466979884	-0.351657082145293	-0.663957167226278	-0.405886149993307	-0.117879375101576	-0.896298560099908	-0.338940544298685	-0.672630089479576	-0.64691173222216	-0.562373201668832	-0.423466071309575	0.293985098286545	-0.469600710372796	-0.569755902704658	-0.705319771917141	-0.951256332689558	-0.427958485461601	-0.819605487149647	-0.634332395422596	-0.237144971839518	-0.406522544021513	-0.612215826071779	0.167181702780336	-0.49495749658301	-0.451634777962883	-0.450015455597163	-0.43359626537785	-0.573369754701706	-0.520945977706773	-0.301096471141701	-0.734096964970186	-0.992697033535651	-0.424351670692856	-0.328528894766067	-0.537071001673781	230649	64756	6330547J17Rik|AI593252|ATP|ATP11|ATP11p	ATP synthase mitochondrial F1 complex assembly factor 1	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, mito protein domain+, MS/MS	Matrix	OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors	Tmito	13.3637	0.011	1	literature, APEX_matrix, yeast mito homolog++, mito protein domain+, MS/MS	ENSMUSG00000028710	H3BLL2	348	NA	MitoDomain	NA	NA	OrthologMitoHighConf	NoHomolog	25-50ambig	chr4	115784813	115812314	8	12	40	4.87e+08	28	cerebrum, brainstem, spinalcord, adipose, smallintestine, largeintestine, placenta, testis	7.4	NA	7.3	8.3	NA	NA	NA	NA	7.6	7.1	7.5	NA	7.9	7.9	Mitochondria (Approved)
ENSMUSG00000067369.13	ENSMUSG00000067369	Trmt2b	DOWN	0.833092833092833	1	23	1	5	0	10	0	6	-0.696520972647532	-0.707300093149623	-0.910348398976067	-0.682099063842332	-0.57890843116908	-0.61472799660265	-0.899841420111586	-0.766157379432981	-0.52406312622456	-0.648442806866265	-0.834211382618708	-1.50042748746568	-0.900362734209104	-0.544309724175572	-2.06787838856703	-0.729563236246882	-1.18099183860205	-0.325339608396837	-1.25281732731218	0.0263365839638135	-0.750312192952498	0.739465824898546	-0.5922229490535	-1.68019178192468	-0.448245531372163	-0.899841420111586	-0.378480223141196	-1.46872743993721	-0.90566066937931	-1.45397687726898	-1.14852907458545	-0.126368633534115	-2.02602717667053	-1.42143555288677	-1.03519343101326	-0.777022812152837	-0.89707168763804	-0.982545648876376	0.445617326718834	-0.523322379801899	-0.675175193735047	-0.766157379432981	-1.4414740206115	-0.831636151157352	-0.892775326631741	-0.991798194871804	-0.75269835486608	-0.268511417446967	-1.05319230341371	0.0519176886905701	-0.470670757540589	-0.639010114040546	-0.503969062669205	-0.323221773845248	-0.52406312622456	-0.497821293285495	-0.737403111367945	-0.648442806866265	-0.695117054546563	-1.00527845563692	-0.392749053457572	-0.326284201057795	215201	79979	4732479N06Rik	TRM2 tRNA methyltransferase 2B	MitoCarta3.0	GFP, targetP signal, mito protein domain+, induction, coexpression	Matrix	Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications	Tmito	11.1109	0.018	1	GFP, targetP signal, mito protein domain+, induction, coexpression	ENSMUSG00000067369	Q8BQJ6	493	3	MitoDomain	14	0.5	NoMitoHomolog	NoHomolog	NA	chrX	134222954	134276984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nucleoplasm (Approved)
ENSMUSG00000038302.15	ENSMUSG00000038302	Afg1l	DOWN	0.833092833092833	1	23	1	4	1	10	0	7	-0.826242081529731	-0.859663845516519	-0.90900419158717	-0.915666650116533	-0.748246707207906	-0.732050777207317	-0.872667355086643	-0.943427072752124	-0.846660335946394	-0.715798382965511	-0.963981213257136	-1.34664953561003	-0.670236558827457	-0.635402944872933	-2.1377304118328	-0.954322007882521	-1.25527405664305	-0.666233517688288	-1.17903257959282	-0.243138814136638	-0.872667355086643	0.40333844940183	-0.797892719688907	-1.69137339913603	-0.447972549464749	-0.839082096311508	-0.573457494715978	-1.27894918389362	-0.671515459043117	-1.28915625415033	-1.15382868592241	-0.0693270683183712	-1.85118478653343	-1.06493465387352	-1.32545073815069	-0.53342772298184	-0.434229814640599	-1.04502577020227	0.176686786500439	-0.605549203330685	-1.6980806570568	-1.67994182843629	-0.943427072752124	-0.614328805537995	-1.14332644371611	-0.846660335946394	-0.962250082853308	-0.629930713948702	-0.939213866954615	0.230995170213633	-0.901520143113722	-0.563699497640045	-0.824055079877633	-0.471706620643911	-1.17934616480616	-0.73931181481942	-0.647749931108151	-1.05578542158464	-0.714194074213799	-0.991145689711961	-0.715798382965511	-0.260370126047729	215951	246269	CG8520|Lac|Lace1	AFG1 like ATPase	MitoCarta3.0	APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, coexpression, MS/MS+	MIM	Protein import, sorting and homeostasis > Protein homeostasis > Proteases	Tmito	27.8296	0.004	1	APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, coexpression, MS/MS+	ENSMUSG00000038302	Q3V384	480	1	NA	29	NA	OrthologMitoHighConf	Ortholog	25-50pure	chr10	42312584	42478565	9	14	80	6.41e+08	28	cerebrum, cerebellum, spinalcord, heart, adipose, smallintestine, largeintestine, stomach, placenta	7.4	7.2	NA	7.4	NA	NA	8.1	NA	7.7	7.4	8.2	8.2	7.7	NA	Cytosol;Plasma membrane (Approved)
ENSMUSG00000028937.15	ENSMUSG00000028937	Acot7	DOWN	0.81962481962482	0	24	0	5	0	9	0	6	-0.57309811391571	-0.479476727918609	-0.596885473719102	-0.483359045881416	-0.480689427657125	-0.731458508405196	-0.543844445861713	-0.415109009975506	-0.381832509070444	-0.778972690506398	-0.238917858218982	-1.24090888236496	-0.844588074929338	-0.479206622145184	-0.706281072378207	-0.693567305036471	-0.965996231211935	-0.265732977313832	-0.332627117146028	-0.218213180463725	-0.543844445861713	0.0680756644812919	-0.936297798413743	-0.579590061757663	-0.225544417855379	-0.591508497201918	-0.440089641457408	-0.474787544338769	-0.763965598762621	-1.50683275531959	-0.305923143755772	-0.530004201752305	-0.597557498337536	-1.1847809246257	-0.670104965275804	-0.378528443586023	-0.468584195386445	-0.415109009975506	0.0154232805981903	-0.170594696439816	-0.619804143459834	-1.15334316598835	-0.33146936782796	-0.708616218076641	-0.374261620741885	-0.923006112818971	-0.742247390399773	-0.124580989734613	-0.954109109697587	0.0738955552346453	-0.707729634169538	-0.276112601405399	-0.581804018623902	-0.295795272800908	-0.381832509070444	-0.778972690506398	-0.471123877606491	-0.842796700847044	-1.15184217021172	-0.765196309811995	-0.32105753066729	-0.78922027918543	70025	11332	2410041A17Rik|AU01471|Ach1|Act|Bac|Bach|CTE-IIa|Cte-II|Lach1	acyl-CoA thioesterase 7	MitoCarta3.0	targetP signal, mito protein domain, induction	Matrix	Metabolism > Lipid metabolism	Tnon_mito	2.8901	0.133	0	targetP signal, mito protein domain, induction	ENSMUSG00000028937	Q91V12	384	3	SharedDomain	1	1.09	NoMitoHomolog	NoHomolog	0-25crude	chr4	152178099	152271855	4	6	18	2.05e+08	17	brainstem, spinalcord, adipose, largeintestine	NA	NA	7.9	7.8	NA	NA	NA	NA	7.6	NA	7.3	NA	NA	NA	Cytosol (Supported)
ENSMUSG00000014633.16	ENSMUSG00000014633	Cmc2	DOWN	0.81962481962482	0	24	0	4	0	9	0	7	-0.753455369869452	-0.706828415769153	-0.820141339687471	-0.704639312561846	-0.573113782041927	-0.915927045186565	-0.741979025835091	-0.671677805703216	-0.563639384711395	-0.802872338967729	-0.952460861705088	-1.59043991559602	-0.49710074461681	-0.98359844534244	-1.35734574900208	-0.590938632696759	-1.3840396804618	-0.378316208798204	-1.0413904050838	-0.192759276247938	-0.663875159551234	-0.038760877873102	-0.895280916146717	-1.23190321531034	-0.389712101654488	-0.340941309421563	-0.225182186814043	-0.864408033370361	-0.963711531165138	-1.69169776413772	-0.741979025835091	-0.449982055324953	-1.72896462020705	-0.871774580731068	-0.727507682420052	-0.718060714412267	-0.63168447763557	-0.772752085635119	0.130274422325654	-0.523361958563086	-0.671677805703216	-1.87500135086602	-0.487815703303887	-0.732140706187247	-0.977379030144981	-0.563639384711395	-0.555823212215411	-0.369165945882268	-0.848323066573929	0.0456068376879265	-0.851362680639977	-0.349121786437114	-0.836197967678418	-0.176007263012044	-0.822838102853588	-1.37478375191068	-0.627265890971521	-0.802872338967729	-1.61748345761227	-0.52913519595441	-0.642020160385946	-0.817928520503386	66531	56942	1110046L09Rik|2310061C15Rik|DC13	COX assembly mitochondrial protein 2	MitoCarta3.0	APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS+	IMS	OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors	Tmito	26.8673	0.004	1	APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS+	ENSMUSG00000014633	Q8K199	79	NA	MitoDomain	28	2.74	OrthologMitoHighConf	NoHomolog	75-100ambig	chr8	116888684	116921436	10	11	58	2.05e+08	90	cerebrum, cerebellum, spinalcord, liver, heart, adipose, largeintestine, stomach, placenta, testis	7.2	7.1	NA	6.8	NA	7.6	6.5	NA	7.5	NA	7.5	6.9	7.6	7.2	Mitochondria (Supported)
ENSMUSG00000005674.10	ENSMUSG00000005674	Tomm40l	DOWN	0.81962481962482	1	24	0	4	0	9	0	7	-0.853475986514568	-0.898876906592185	-0.940996376437242	-0.868209149759396	-0.733480898195421	-0.871217521666212	-0.873613495199713	-0.902500765915146	-0.895253047269225	-0.98545829960918	-1.02151116619947	-2.26757333017316	-0.745257317073102	-0.415210828747753	-1.8096276504337	-0.803650658633224	-1.32121295180693	-0.618752517586168	-1.21542845466296	-0.167643033803905	-0.678037324714673	0.119121533495241	-0.59149397158797	-1.54252678875295	-0.274088280957742	-0.873613495199713	-0.292115967188404	-1.13000207354701	-1.33984953168972	-1.36030882190258	-1.09454940248892	-0.207603435129029	-1.93787989569396	-0.818155818244731	-1.32428500542536	-0.756191038865859	-0.919454936791781	-0.902500765915146	-0.0202961700231488	-0.477987261599022	-1.01924800876023	-1.87012697067586	-0.928782035469194	-0.858522835873161	-1.12763943296514	-0.817984392450831	-0.895253047269225	-0.0775440874155139	-1.26285060092757	-0.0317289091377161	-0.937669780709506	-0.602227573295899	-1.04246757467527	-0.361122743691039	-0.911801737611919	-0.98545829960918	-0.787301886988708	-1.02126065503883	-1.07274504840332	-1.13335684814398	-0.832530054644308	-0.265869858835153	641376	84134	-	translocase of outer mitochondrial membrane 40-like	MitoCarta3.0	targetP signal, yeast mito homolog+, mito protein domain+, induction, coexpression+, MS/MS	MOM	Protein import, sorting and homeostasis > Protein import and sorting > TOM	Tpossible_mito	24.6574	0.003	1	targetP signal, yeast mito homolog+, mito protein domain+, induction, coexpression+, MS/MS	ENSMUSG00000005674	Q9CZR3	308	4	MitoDomain	39	1.01	OrthologMitoLowConf	NoHomolog	25-50ambig	chr1	171217802	171222514	8	6	36	5.36e+08	28	cerebrum, cerebellum, brainstem, spinalcord, adipose, largeintestine, stomach, testis	8.3	8	7.6	8	NA	NA	NA	NA	7.7	NA	7.5	7	NA	7.3	NA
ENSMUSG00000038121.7	ENSMUSG00000038121	Fam210a	DOWN	0.818302068302068	0	20	1	6	2	9	0	6	-0.492192775843241	-0.497629986822685	-0.395766728941339	-0.523631073719377	-0.406174897008147	-0.6431984037041	-0.388088292587331	-0.515196631326376	-0.481348464675126	-0.513911508970243	-0.345560153020218	-0.833953285023133	-0.716938426161788	-0.0653316396149586	-0.536642917074984	-0.383072003026277	-0.252742745844226	-0.293857415269234	-0.720529017997481	0.18832847920659	-0.554776498980029	-0.188876533624698	-0.631822101911425	-0.724920795115901	-0.236101434456406	-0.394476589114335	-0.278260235206297	-0.388088292587331	0.0312109207894044	-0.827266246034314	-0.581925641475058	0.0806543692091955	-0.561977130529948	-0.685454843980935	-0.545016042924881	-0.0278190752214324	-0.210486386426043	-0.63716603762092	0.127703218530043	-0.616494185338793	-0.515196631326376	-0.424345831225587	-1.14624568770227	-0.453672361351733	-0.760094105879844	-0.965379425766809	0.390260452883165	-0.171031228216459	-0.516256732816963	0.154851128555091	-0.649942287794379	-0.474315089308012	-0.481348464675126	-0.227535412206088	-0.767132701864191	-0.328332247436527	-0.513911508970243	-0.991249078201883	-1.0178867195854	-0.499764672558444	-0.333783130618576	-0.817461468557631	108654	125228	4933403F05Rik|AA987140|AV134576|AW491926	family with sequence similarity 210, member A	MitoCarta3.0	GFP, targetP signal, induction, coexpression++, MS/MS	MIM	0	Tmito	18.7767	0.003	1	GFP, targetP signal, induction, coexpression++, MS/MS	ENSMUSG00000038121	Q8BGY7	273	2	NA	42	0.87	NoMitoHomolog	NoHomolog	50-75ambig	chr18	68260184	68300333	14	19	414	8.75e+09	60	all 14	9.2	9	9.3	8.8	8.8	8.4	8.8	8.6	8.4	8.6	8.6	8.3	8.5	8.2	Golgi apparatus;Mitochondria;Nucleoplasm (Approved)
ENSMUSG00000026172.13	ENSMUSG00000026172	Bcs1l	DOWN	0.815897065897066	1	25	0	5	0	10	0	5	-0.633221080635972	-0.726880034749013	-0.752057059063918	-0.666392697927674	-0.736706990375989	-0.377727575176309	-0.714690674583273	-0.739069394914754	-0.907972309849822	-0.361070760521848	-0.976902772492347	-1.14507334448213	-0.63435738246976	-0.435189195302549	-1.82898963526439	-0.632765512709156	-0.481854719567352	-0.44245335285721	-1.00861358946039	-0.370133441341189	-0.895255577124572	0.176748630602886	-0.714690674583273	-1.34814854337195	-0.464634050140621	-0.575897477941909	-0.369737763378181	-0.847939241742026	-0.928334570161617	-0.804386246844716	-0.730689812981196	-0.222802219594162	-1.8721686662542	-0.65131997195084	-0.90284290573672	-0.348587732898191	-0.848520824678027	-0.799223596440264	-0.137624679749261	-0.433787377208629	-0.609378662897638	-1.18195328239737	-0.739069394914754	-0.763711891885801	-1.01141204897852	-1.03925144842061	-1.11975469624746	-0.420522335663017	-0.67841250993492	0.0503214145614384	-0.910367778903863	-0.500630657465384	-1.0051016213116	-0.560672901922112	-0.907972309849822	-0.737246605513384	-0.206614290161577	-0.413011567683653	-0.68473358155694	-0.18830168536104	-0.361070760521848	-0.0531145354357211	66821	617	9130022O19Rik	BCS1-like (yeast)	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS+	MIM	OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors	Tmito	25.8923	0.003	1	literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS+	ENSMUSG00000026172	Q9CZP5	418	NA	MitoDomain	37	NA	OrthologMitoHighConf	Homolog	25-50pure	chr1	74588360	74592443	13	14	106	1.87e+09	45	cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis	8.3	7.8	8	8.5	NA	8.1	7.8	7.8	8.5	7.8	8.2	8.1	8.3	8.1	NA
ENSMUSG00000019864.15	ENSMUSG00000019864	Rtn4ip1	DOWN	0.815897065897066	0	25	0	4	0	10	0	6	-0.809563556053582	-0.945755612862421	-1.00556110885822	-0.894296368375513	-0.853524425176072	-0.484872321804525	-0.991730800397753	-0.899780425327089	-1.05110528456004	-0.445934892143695	-1.33425981577695	-1.45858256056431	-0.941247543112831	-0.371655281437668	-2.01188489175265	-0.77278031560535	-1.31392140354155	-0.53177999856138	-1.11196175087568	-0.118633712089313	-0.893423193286917	-0.157732240108077	-0.871206590278012	-1.85785177729652	-0.348036651528748	-1.04165459297571	-0.633937469017535	-1.19685109867377	-1.09766202606776	-1.41780599252389	-1.06733176643297	-0.0153619086868227	-2.23917799848814	-0.991730800397753	-1.44440489504024	-0.9242840876391	-0.98498957741231	-0.706338129376243	0.0627223929634829	-0.899780425327089	-1.31755717675593	-1.0927683235019	-1.56421950034731	-0.742133416283596	-1.21328791093976	-1.24477591161246	-1.05255668305014	-0.42364094360487	-1.18678574192691	0.132695722393418	-1.11410891626791	-0.742168058815253	-1.05110528456004	-0.529337174277981	-0.963697774274878	-0.366934904163934	-0.335102481536757	-0.707392318135764	-0.877320495609549	-0.579634607529697	-0.445934892143695	-0.0817865535122767	170728	84816	D10Ertd690|D10Ertd690e|N|NIMP	reticulon 4 interacting protein 1	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog, mito protein domain, induction, coexpression++, MS/MS++	Matrix	0	Tmito	32.0669	0	1	literature, APEX_matrix, targetP signal+, yeast mito homolog, mito protein domain, induction, coexpression++, MS/MS++	ENSMUSG00000019864	Q924D0	396	1	SharedDomain	40	0.96	HomologMitoHighConf	NoHomolog	75-100pure	chr10	43901806	43947862	14	28	299	1.07e+10	77	all 14	8.5	8.4	8.8	8.2	9.5	8.7	9.2	9	8.8	8.6	8.9	8.5	8.3	8.5	NA
ENSMUSG00000057388.10	ENSMUSG00000057388	Mrpl18	DOWN	0.814574314574315	1	21	0	5	0	10	0	6	-0.638468490413686	-0.608427636578954	-0.568719997686448	-0.671978804820557	-0.565548024215306	-0.747627134932433	-0.542823626387757	-0.596980231916891	-0.619875041241017	-0.732466642163141	-0.68465345899217	-1.35669059959029	-0.4267721883947	-0.627772090204349	-1.18837042273246	-0.306864086216879	-0.853509546425739	-0.343537604174951	-0.571888338187129	-0.0650256773326485	-0.46056545569609	0.128666172300503	-0.520210811008358	-0.979868492282109	0.0214718994581631	-0.284090242927151	-0.140375605194147	-0.750087563991641	-0.68049674287587	-1.1801730110298	-0.563061290762033	-0.0778367836551753	-1.25131659346407	-0.364967655457074	-0.764169928331598	-0.520450193978554	-0.542823626387757	-0.596980231916891	-0.166501735830743	-0.392676305189778	-0.910673361852949	-1.39944415557272	-0.44667056646015	-0.790905276920666	-1.04313945049186	-0.619875041241017	-0.425182900794791	-0.20876541620032	-0.813116808228017	-0.0180305659696129	-0.698947089491021	-0.221970863452648	-1.19612149957364	-0.194030782699027	-0.781847848226416	-0.402657541037121	-0.759589331044401	-0.995727597128872	-1.14135345080074	-0.732466642163141	-0.589904374648642	-0.611691007704116	67681	29074	1010001C05Rik|C79879|HSPC0|HSPC071|MRP-|MRP-L18	mitochondrial ribosomal protein L18	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog, coexpression, MS/MS	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Tmito	11.2343	0.015	1	literature, APEX_matrix, targetP signal, Rickettsial homolog, coexpression, MS/MS	ENSMUSG00000057388	Q9CQL5	180	4	NA	26	NA	NoMitoHomolog	Ortholog	25-50ambig	chr17	12911354	12916091	14	8	106	1.89e+09	36	all 14	8.3	8	8.3	7.6	8.1	8.1	7.6	7.3	8.2	7.9	8.7	7.6	8.2	8.1	NA
